gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,timepoint,n_CCS,n_ACS
AL356488.3,0.9051431299427097,1.1824833113821487,0.6436610652072301,1.8371210801781863,0.06619202283930274,,TP2M,14,19
TMEM167B,5.307755479801718,-0.10153238719500991,0.23406100895925125,-0.4337859930044399,0.6644438540050943,0.8771743477934069,TP2M,14,19
SARS,5.022044478740101,0.3869124809369504,0.24921447081496484,1.5525281484325313,0.12053590287774887,0.4378610244291684,TP2M,14,19
PSMA5,9.227612466532786,-0.09559955960103426,0.2232714189077008,-0.42817643238319997,0.6685226733600125,0.8780944439470967,TP2M,14,19
CYB561D1,0.9195968806669864,0.125223728120981,0.5571449644016764,0.22475968755359754,0.8221662283583323,,TP2M,14,19
GNAI3,14.130489708106424,0.2957805577681232,0.15128767426844553,1.95508695072732,0.050572808219088335,0.27350051375019124,TP2M,14,19
AMPD2,1.6578446359850827,-0.353856493919644,0.4704307425960473,-0.7521967887704482,0.45193272449963806,,TP2M,14,19
GSTM4,1.0191846335769301,0.07774504500247142,0.6101051864979221,0.1274289200010533,0.8986009279636694,,TP2M,14,19
GSTM3,0.8277058390789408,1.9108092095754792,0.7110915538623952,2.687149353970873,0.007206472177886947,,TP2M,14,19
AHCYL1,5.874199817132201,-0.24650151390132138,0.2447033486867987,-1.007348347393579,0.3137674038456677,0.672625105306942,TP2M,14,19
STRIP1,2.353437264625384,0.5826533217174535,0.378485607960766,1.5394332293286341,0.12369856695266611,0.4444031807178822,TP2M,14,19
RBM15,3.633160141164627,-0.002488146777414119,0.2878901020972367,-0.0086426964987276,0.9931042117482667,0.9970410940115365,TP2M,14,19
SLC16A4,1.1594669555373056,1.153511023131128,0.5668961201588977,2.034783767452502,0.041872635095161946,,TP2M,14,19
LAMTOR5,21.5770220256771,-0.02250510985388481,0.13331344402786113,-0.1688135057795182,0.8659433347192009,0.9603739696931549,TP2M,14,19
AL365361.1,2.5942074085996527,0.8143037314872705,0.37286206421696483,2.1839275422061575,0.02896757280106717,0.19412638006138894,TP2M,14,19
CD53,36.1734096024781,0.08115946441942684,0.12754981900138326,0.6362961943407124,0.524583384960889,0.8130357035641652,TP2M,14,19
AL360270.1,0.6986872635457905,0.29703390550275327,0.6027399633773639,0.49280605825166773,0.6221496296625899,,TP2M,14,19
LRIF1,4.042447128625545,0.08407246324552076,0.2732423979829777,0.3076845462714693,0.7583223799349711,0.917541716762528,TP2M,14,19
DRAM2,15.663801181048198,-0.1807201771636429,0.17425244546373228,-1.0371170211281584,0.2996813235062772,0.6598022547177046,TP2M,14,19
CEPT1,6.19447037089499,-0.3762555326044682,0.23192425187685148,-1.6223207774073347,0.10473468215006297,0.4065191187359932,TP2M,14,19
DENND2D,2.2834535712835256,0.2894495516098472,0.4211687590295452,0.6872531388054406,0.4919232234424171,0.7980436702164766,TP2M,14,19
CHI3L2,2.8042029910145527,-0.3422500800116912,0.6790456423792709,-0.504016311499327,0.6142499146432148,0.8539726814517119,TP2M,14,19
WDR77,2.7812228889604818,-0.2039460554690401,0.3111554448225308,-0.6554474905151083,0.5121796836557928,0.8073285577345088,TP2M,14,19
ATP5PB,15.497092477130215,0.21886986346149698,0.14636245654647115,1.4953962144793889,0.13481106791849362,0.46260866459783945,TP2M,14,19
C1orf162,14.270691621765874,-0.2718225744869283,0.222121856321679,-1.223754289597113,0.2210449327373828,0.5742465558534274,TP2M,14,19
RAP1A,13.217411978354393,0.11803724662292285,0.15693549733399845,0.7521386087158454,0.45196770788047036,0.7750887422063889,TP2M,14,19
DDX20,1.8390002806803807,-0.5679155790575422,0.36924862712196627,-1.5380303062574538,0.12404120487851525,0.44540931136245865,TP2M,14,19
ST7L,1.4495740854220796,-0.069035556800557,0.4338996145626339,-0.15910490464515414,0.873586224097604,,TP2M,14,19
CAPZA1,19.412224993751543,0.24506423208144815,0.14699963265738508,1.6671077855862686,0.09549297430600513,0.3896923727843111,TP2M,14,19
RHOC,2.3648031961406075,0.5460435503197207,0.36351733314973417,1.5021114552873422,0.1330683269365857,0.4595519066609619,TP2M,14,19
SLC16A1,2.389360515894881,0.8206993900016574,0.3749456602702074,2.1888488838895057,0.02860782536263482,0.19333173363413758,TP2M,14,19
SLC16A1-AS1,1.8512710871443556,0.8334612708727004,0.42059891683743944,1.9816058423061307,0.047523372788899294,0.26302746480433375,TP2M,14,19
LRIG2,1.7719659361792592,0.5895447836442917,0.4243884135850195,1.3891632400237188,0.16478311702357085,0.5070304556233263,TP2M,14,19
PHTF1,2.217931600816258,-0.613489685818172,0.40114311991731977,-1.529353628063269,0.12617680164356468,0.4471090551110107,TP2M,14,19
RSBN1,15.012463338196756,0.21321840457125793,0.1449167264250622,1.471316733624363,0.14120547996927382,0.4724773864322152,TP2M,14,19
PTPN22,9.969759616347346,0.12605197433394985,0.1978051391241091,0.6372532831660198,0.5239598755901461,0.8130353219458113,TP2M,14,19
AP4B1,1.0982965934559925,0.3445022663391142,0.5119107289342651,0.6729733269242575,0.5009642602550477,,TP2M,14,19
HIPK1-AS1,1.0916355552342742,0.661379184563278,0.6023889100542095,1.0979272252933077,0.272236268569513,,TP2M,14,19
HIPK1,7.475552406067313,0.8155131995789074,0.22133207744038164,3.6845684954932727,0.0002290904150825026,0.006547937687317955,TP2M,14,19
