gene,cluster,timepoint,log2FoldChange,padj,sig
IL6ST,6,TP4M,0.2931420862056108,0.4203173478206202,False
VCAN,6,TP4M,-0.0719310485334584,0.8666953283081061,False
HINT1,6,TP4M,0.0685994655196166,0.760585665046815,False
CD74,6,TP4M,-0.3236872425895049,0.1200065505311091,False
PIM1,6,TP4M,0.2073987691021969,0.757981879934835,False
EIF3E,6,TP4M,-0.1460134953188871,0.627479899224581,False
UBC,6,TP4M,0.2117641992833546,0.2418751094823061,False
HMGB1,6,TP4M,0.0967084763281463,0.5447297177027048,False
PSME2,6,TP4M,-0.2596323368648413,0.5019929305961799,False
STAT3,6,TP4M,-0.1743937664205661,0.5803120071298198,False
SOCS3,6,TP4M,0.2915729404032641,0.5241218853440687,False
JAK1,7,TP4M,-0.0436272744734872,0.9138665346348136,False
ODC1,7,TP4M,-0.2526970970347191,0.6333031469424554,False
IL6ST,7,TP4M,0.1059003431182618,,False
VCAN,7,TP4M,0.0348372270499489,0.9457913236759192,False
HINT1,7,TP4M,0.1239521499102642,0.6812235153272906,False
CD74,7,TP4M,-0.1735073023731692,0.5872005651601434,False
EIF3E,7,TP4M,-0.0709457456198258,0.8589595244331873,False
UBC,7,TP4M,-0.1018269675389732,0.7065328458169196,False
HMGB1,7,TP4M,-0.0689000026897774,0.7387940552131963,False
PSME2,7,TP4M,-0.2831943422892168,0.6541797923706759,False
STAT3,7,TP4M,-0.2406437988881716,0.4011811156472964,False
SOCS3,7,TP4M,0.4369404612864668,0.5939368437643001,False
JAK1,11,TP4M,-0.091318735084256,0.7636700532677235,False
ODC1,11,TP4M,0.0966361150948224,0.8921738257575922,False
IL6ST,11,TP4M,0.2041368214394172,,False
HINT1,11,TP4M,0.1286504779047433,0.503850981764466,False
CD74,11,TP4M,-0.449473125652049,0.1078700024721021,False
EIF3E,11,TP4M,-0.0973553472196145,0.7553734594092394,False
UBC,11,TP4M,-6.560211078966473e-05,0.9993680407124456,False
HMGB1,11,TP4M,0.159781202414263,0.5741374626364968,False
PSME2,11,TP4M,-0.0274578230988332,0.9645937114023196,False
STAT3,11,TP4M,0.0025984008044166,0.9990451097831812,False
SOCS3,11,TP4M,-0.060515588751023,,False
